fips,county,province_state,country,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recovered,covid_active,combined_key,covid_indidence_rate,covid_case_fatality_ratio,county_population,earthquake_id,eipicenter,earthquake_date,earthquake_latidute,earthquake_longitude,magnitude,fire_name,fire_is_final,fire_started,acres_burned,fire_percent_contained,fire_longitude,fire_latitude,fire_is_active,is_calfireincident,fire_location
6001.0,Alameda,California,US,2020-10-17 04:24:12,37.64629437,-121.8929271,22408.0,439.0,0.0,21969.0,"Alameda, California, US",1340.7294434548794,1.959121742234916,1671329.0,,,,,,,Sheridan Fire,True,2020-07-04T15:04:41Z,108.0,100.0,-121.876277,37.536015,False,True,"Sheridan Road, south of Sunol in Santa Clara county. "
6001.0,Alameda,California,US,2020-10-17 04:24:12,37.64629437,-121.8929271,22408.0,439.0,0.0,21969.0,"Alameda, California, US",1340.7294434548794,1.959121742234916,1671329.0,,,,,,,Hollow Fire,True,2020-07-16T18:14:18Z,253.0,100.0,-121.59374,37.640440000000005,False,True,"Tesla Road and McLaughlin Road, Southeast of Livermore"
6001.0,Alameda,California,US,2020-10-17 04:24:12,37.64629437,-121.8929271,22408.0,439.0,0.0,21969.0,"Alameda, California, US",1340.7294434548794,1.959121742234916,1671329.0,,,,,,,SCU Lightning Complex,True,2020-08-18T09:25:25Z,396624.0,100.0,-121.30435,37.439437,False,True,"Multiple locations throughout Santa Clara County, Alameda County, Contra Costa County, San Joaquin County, Merced and Stanislaus County"
6003.0,Alpine,California,US,2020-10-17 04:24:12,38.59678594,-119.8223594,3.0,0.0,0.0,3.0,"Alpine, California, US",265.72187776793623,0.0,1129.0,,,,,,,,,,,,,,,,
6005.0,Amador,California,US,2020-10-17 04:24:12,38.44583082,-120.65696,309.0,16.0,0.0,293.0,"Amador, California, US",777.3193801569732,5.17799352750809,39752.0,,,,,,,Copper Fire ,True,2020-09-30T13:09:00Z,48.0,100.0,-121.003602,38.49375,False,True,"Copper Hill Rd. off Hwy 16, east of Rancho Murieta"
6005.0,Amador,California,US,2020-10-17 04:24:12,38.44583082,-120.65696,309.0,16.0,0.0,293.0,"Amador, California, US",777.3193801569732,5.17799352750809,39752.0,,,,,,,Lambert Fire,True,2020-10-04T12:46:20Z,21.0,100.0,-121.006635,38.424015999999995,False,True,"Lambert Road and Carbondale Road, North of Carbondale"
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,North Complex Fire,False,2020-08-18T21:21:53Z,200.0,95.0,-121.22718,39.69072,True,False,Flemmings Sheep Camp
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Candy Fire,True,2020-05-08T14:46:20Z,17.0,100.0,-121.47273,39.42208,False,False,"Candy Cane Ln and Apache Hill Rd, west of Palermo"
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Nelson Fire ,True,2020-06-17T12:54:12Z,95.0,100.0,-121.60037,39.52408,False,True,"Nelson Ave and 16th St, Oroville"
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Teddy Fire,True,2020-06-18T22:33:51Z,13.0,100.0,-121.45371999999999,39.37577,False,True,"Teddy Lane and Bangor Park Rd., Bangor"
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Honcut Fire,True,2020-06-20T14:24:00Z,89.0,100.0,-121.53976000000002,39.36894,False,True,"Palermo Honcut Hwy and Four Junes Way, south of Palermo"
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Avacado Fire,True,2020-06-30T15:43:01Z,136.0,100.0,-121.4319,39.3784,False,True,"Bangor Park Road and Teddy Lane, West of Bangor  "
6007.0,Butte,California,US,2020-10-17 04:24:12,39.66727762,-121.6005252,3000.0,50.0,0.0,2950.0,"Butte, California, US",1368.7005556924255,1.6666666666666667,219186.0,,,,,,,Robinson Fire,True,2020-07-13T15:06:35Z,33.0,100.0,-121.37993999999999,39.43227,False,True,"Gold Mountain Rd and Stoney Oaks Blvd, northeast of Bangor"
